time;accelX;gyroZ
18:49:41.023;-2.44;-0.33
18:49:41.080;3.97;-0.21
18:49:41.080;3.84;-0.15
18:49:41.080;-5.53;-0.02
18:49:41.137;3.31;0
18:49:41.137;-2.55;-0.1
18:49:41.137;4.52;-0.1
18:49:41.158;2.66;0
18:49:41.158;-1.87;-0.14
18:49:41.192;3.16;0.15
18:49:41.214;2.22;0.07
18:49:41.214;8.34;0.05
18:49:41.238;3.68;0
18:49:41.271;0.87;-0.03
18:49:41.271;-8.62;1.4
18:49:41.294;-8.39;2.48
18:49:41.294;-10.19;4.18
18:49:41.317;1.32;3.54
18:49:41.350;0.09;4.05
18:49:41.350;0.91;3.88
18:49:41.372;-2.44;4.35
18:49:41.406;0.34;4.77
18:49:41.406;0.27;4.67
18:49:41.428;-8.44;4.8
18:49:41.462;1.99;4.12
18:49:41.462;-5.81;4.49
18:49:41.485;1.55;4.27
18:49:41.485;2.08;3.96
18:49:41.507;-2.02;3.87
18:49:41.533;4.94;3.39
18:49:41.533;2.48;3.57
18:49:41.553;-4.98;3.47
18:49:41.586;-8.54;3.29
18:49:41.586;0.39;3.17
18:49:41.610;-4.72;2.88
18:49:41.643;6.44;2.57
18:49:41.643;-4.49;3
18:49:41.665;1.39;2.52
18:49:41.687;3.25;2.71
18:49:41.687;-6.36;2.83
18:49:41.722;0.69;2.62
18:49:41.722;-1.69;3.14
18:49:41.746;6.36;3.24
18:49:41.769;-2.78;2.75
